BinLab	Completeness	Contamination	Phylum	Class	Order	Family	Genus	Species
DonA_bin_5	57.67	1.75	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_50	97.92	0.38	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001689485
DonA_bin_51	46.6	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_52	97.31	0	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_53	95.67	3.69	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_54	15.52	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_55	97.3	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002473395
DonA_bin_56	97.55	0.5	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp001689565
DonA_bin_57	17.24	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263	
DonA_bin_58	99.82	0.35	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D	Helicobacter_D ganmani
DonA_bin_59	37.27	1.75	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_6	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_60	92.93	0.54	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri_D
DonA_bin_61	88.81	1.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_62	97.71	1.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_63	91.22	8.47	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_64	92.66	0.12	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_65	93.74	0	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-145	
DonA_bin_66	79.53	1.34	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonA_bin_67	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_68	97.78	0.95	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
DonA_bin_69	94.91	1.19	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
DonA_bin_7	0.88	0	NA	NA	NA	NA	NA	NA
DonA_bin_70	93.67	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
DonA_bin_71	95.57	1.9	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_72	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_73	12.77	0	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552		
DonA_bin_74	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_75	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_76	93.16	0.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403475
DonA_bin_77	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_78	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_79	20.69	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
DonA_bin_8	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_80	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_81	33.93	0	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia mucosicola
DonA_bin_82	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_83	51.95	5.36	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia sp004793465
DonA_bin_84	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_85	49.67	0.67	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonA_bin_86	75.78	4.39	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp000403435
DonA_bin_87	43.79	4.31	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106	
DonA_bin_88	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_89	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_9	91.4	2.44	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_90	90.61	2.85	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AF33-28	
DonA_bin_91	92.4	41.79	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_92	96.49	0	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella	
DonA_bin_93	97.85	0.54	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_94	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_95	0	0	NA	NA	NA	NA	NA	NA
DonA_bin_96	97.04	0	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	
DonA_bin_97	50	0	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
DonA_bin_98	50.62	0.68	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_99	32.44	0	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	
DonB_bin_1	15.79	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_10	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_100	99.19	0	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonB_bin_101	14.66	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	
DonB_bin_102	2.92	0	NA	NA	NA	NA	NA	NA
DonB_bin_103	89.37	0.57	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_104	97.3	1.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_105	84.79	1.63	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700		
DonB_bin_106	20.94	1.72	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1405	
DonB_bin_107	87.03	0.34	Firmicutes_B	Dehalobacteriia	UBA4068	UBA5755		
DonB_bin_108	98.81	0.32	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_109	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_11	91.95	0.13	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS966	
DonB_bin_110	95.91	0	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002428825
DonB_bin_111	36.75	0	Firmicutes	Bacilli	RF39	CAG-1000	UMGS1217	
DonB_bin_112	31.5	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_113	99.82	0	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D	Helicobacter_D ganmani
DonB_bin_114	98.36	1.27	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonB_bin_115	13.39	0	Firmicutes_A	Clostridia	TANB77	CAG-508		
DonB_bin_116	93.26	0	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae		
DonB_bin_117	74.4	0.38	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002491945
DonB_bin_118	95.91	1.17	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonB_bin_119	99.48	0.52	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus
DonB_bin_12	22.41	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris
DonB_bin_120	56.55	24.31	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_121	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_122	20.69	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonB_bin_123	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_124	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_125	95.61	1.15	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_126	95.57	0.95	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonB_bin_127	99.37	0.54	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonB_bin_128	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_129	98.1	0.76	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
DonB_bin_13	49.84	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_130	97.04	0	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	
DonB_bin_131	41.38	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonB_bin_132	85.06	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	UBA9502 sp003611875
DonB_bin_133	94.38	0	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
DonB_bin_134	23.28	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonB_bin_135	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_136	71.48	3.69	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonB_bin_137	26.79	1.75	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_138	79.4	0	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonB_bin_139	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_14	95.89	1.27	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonB_bin_140	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_141	6.9	0	NA	NA	NA	NA	NA	NA
DonB_bin_142	4.17	0	NA	NA	NA	NA	NA	NA
DonB_bin_15	8.62	0	NA	NA	NA	NA	NA	NA
DonB_bin_16	41.95	1.34	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonB_bin_17	52.51	1.45	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
DonB_bin_18	22.97	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_19	96.36	0.91	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
DonB_bin_2	98.08	6.25	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonB_bin_20	28.07	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_21	4.17	0	NA	NA	NA	NA	NA	NA
DonB_bin_22	41.07	1.17	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
DonB_bin_23	78.5	0.84	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-56	CAG-56 sp004793585
DonB_bin_24	8.33	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonB_bin_25	87.35	2.63	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonB_bin_26	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_27	51.17	0	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	
DonB_bin_28	37.64	0	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_29	60.73	2.32	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1405	
DonB_bin_3	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_30	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_31	71.3	1.61	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae		
DonB_bin_32	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_33	72.04	8.5	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia caecimuris
DonB_bin_34	88.86	0.67	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonB_bin_35	63.46	5.13	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106	
DonB_bin_36	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_37	98.28	5.52	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonB_bin_38	91.73	0.67	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	
DonB_bin_39	82.05	0.5	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106	
DonB_bin_4	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_40	92.57	1.95	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403455
DonB_bin_41	24.34	0.75	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonB_bin_42	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_43	97.63	0.95	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_44	87.37	2.53	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonB_bin_45	58.89	2.26	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia sp004793465
DonB_bin_46	93.67	3.16	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA7182	
DonB_bin_47	91.74	1.34	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonB_bin_48	97.99	0.34	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	
DonB_bin_49	49.89	9.96	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106	
DonB_bin_5	76.15	3.36	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonB_bin_50	76.71	30.88	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae		
DonB_bin_51	80.19	0.57	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	
DonB_bin_52	62.64	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum intestinale
DonB_bin_53	94.71	1.25	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	
DonB_bin_54	96.12	1.92	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp003612485
DonB_bin_55	96.36	1.92	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	
DonB_bin_56	95.17	2.59	Deferribacterota	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum schaedleri
DonB_bin_57	68.89	12.07	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1071	
DonB_bin_58	100	0	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis
DonB_bin_59	93.65	0.75	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045
DonB_bin_6	83.77	2.18	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	
DonB_bin_60	94.63	0.67	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae		
DonB_bin_61	86.21	1.58	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UMGS1370	
DonB_bin_62	8.33	0	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002491945
DonB_bin_63	95.48	0.48	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp002298075
DonB_bin_64	96.68	1.16	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonB_bin_65	1.82	0	NA	NA	NA	NA	NA	NA
DonB_bin_66	96.63	3.16	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	
DonB_bin_67	97.12	0.48	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonB_bin_68	97.4	6.01	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	Parvibacter caecicola
DonB_bin_69	0	0	NA	NA	NA	NA	NA	NA
DonB_bin_7	98.91	1.63	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	
DonB_bin_70	70.5	6.71	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DonB_bin_71	95.64	2.45	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403335
DonB_bin_72	95.64	1.36	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	
DonB_bin_73	91.42	1.61	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonB_bin_74	98.22	0.72	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	
DonB_bin_75	97.27	0	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri_D
DonB_bin_76	87.73	19.11	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonB_bin_77	96.94	1.16	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AF33-28	
DonB_bin_78	94.97	1.26	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
DonB_bin_79	76.68	8.69	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	
DonB_bin_8	99.37	0.73	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
DonB_bin_80	97.55	0.75	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001689425
DonB_bin_81	95.45	2.68	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae		
DonB_bin_82	90.23	2.24	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp000364245
DonB_bin_83	96.37	2.01	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	
DonB_bin_84	88.25	1.68	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
